mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.0	-6	4/4	1	0					firstMeasure	2
2	2	4	4.0	-6	4/4	1	0						3
3	3	8	3.0	-6	3/4	3/4	0				line		4
4	4	11	4.0	-6	4/4	1	0						5
5	5	15	4.0	-6	4/4	1	0				line		6
6	6	19	6.0	-6	12/8	3/2	0						7
7	7	25	4.0	-6	4/4	1	0				line		8
8	8	29	4.0	-6	4/4	1	0						9
9	9	33	2.0	-6	2/4	1/2	0				page		10
10	10	35	4.0	4	4/4	1	0						11
11	11	39	4.0	4	4/4	1	0				line		12
12	12	43	4.0	4	4/4	1	0						13
13	13	47	2.0	4	4/4	1/2	0				line		14
14	14	49	2.0	4	4/4	1/2	1/2						15
15	15	51	2.0	4	4/4	1/2	0				line		16
16	16	53	2.0	4	4/4	1/2	1/2						17
17	17	55	2.25	4	4/4	9/16	0				line		18
18	17	229/4	2.0	4	4/4	1/2	0		1				19
19	18	237/4	1.0	4	4/4	1/4	0				page		20
20	18	241/4	3.0	4	4/4	3/4	1/4		1		line		21
21	19	253/4	4.0	4	4/4	1	0				line		22
22	20	269/4	2.0	4	2/4	1/2	0						23
23	21	277/4	4.0	4	4/4	1	0			double			24
24	22	293/4	2.0	-1	4/4	1/2	0				line		25
25	23	301/4	2.0	-1	4/4	1/2	1/2						26
26	24	309/4	4.0	-1	4/4	1	0						27
27	25	325/4	2.0	-1	4/4	1/2	0				line		28
28	26	333/4	2.0	-1	4/4	1/2	1/2						29
29	27	341/4	4.0	-1	4/4	1	0						30
30	28	357/4	2.0	-1	2/4	1/2	0				page		31
31	29	365/4	5.0	-1	2/4	5/4	0				line		32
32	30	385/4	5.0	-1	2/4	5/4	0				line		33
33	31	405/4	4.0	-1	2/4	1	0				line		34
34	32	421/4	4.0	0	4/4	1	0						35
35	33	437/4	4.0	0	4/4	1	0						36
36	34	453/4	4.0	0	4/4	1	0				line		37
37	35	469/4	4.0	-6	4/4	1	0						38
38	36	485/4	4.0	-6	4/4	1	0						39
39	37	501/4	4.0	-6	4/4	1	0						40
40	38	517/4	4.0	-6	4/4	1	0			end		lastMeasure	-1
