quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.3333333333333333	1	1	0	0	3/4	2	1	1/12			1/8	2/3		-6	78	Gb5	5	11
0	0.25	1	1	0	0	3/4	1	1	1/16			1/16	1		3	81	A5	5	0
1/4	0.25	1	1	1/16	1/16	3/4	1	1	1/16			1/16	1		-2	82	Bb5	5	1
1/4	0.25	1	1	1/16	1/16	3/4	1	1	1/16			1/16	1		-3	87	Eb6	6	1
1/3	0.3333333333333333	1	1	1/12	1/12	3/4	2	1	1/12			1/8	2/3		0	72	C5	5	12
1/2	0.25	1	1	1/8	1/8	3/4	1	1	1/16			1/16	1		-1	77	F5	5	2
2/3	0.3333333333333333	1	1	1/6	1/6	3/4	2	1	1/12			1/8	2/3		-4	68	Ab4	4	13
3/4	0.25	1	1	3/16	3/16	3/4	1	1	1/16			1/16	1	1	-6	78	Gb5	5	3
3/4	0.25	1	1	3/16	3/16	3/4	1	1	1/16			1/16	1	1	-2	82	Bb5	5	3
1	0.3333333333333333	1	1	1/4	1/4	3/4	2	1	1/12			1/8	2/3		-8	76	Fb5	5	14
1	0.5	1	1	1/4	1/4	3/4	1	1	1/8			1/8	1	-1	-6	78	Gb5	5	4
1	0.5	1	1	1/4	1/4	3/4	1	1	1/8			1/8	1	-1	-2	82	Bb5	5	4
4/3	0.3333333333333333	1	1	1/3	1/3	3/4	2	1	1/12			1/8	2/3		-2	70	Bb4	4	15
3/2	0.25	1	1	3/8	3/8	3/4	1	1	1/16			1/16	1		1	79	G5	5	5
5/3	0.3333333333333333	1	1	5/12	5/12	3/4	2	1	1/12			1/8	2/3		-6	66	Gb4	4	16
7/4	0.25	1	1	7/16	7/16	3/4	1	1	1/16			1/16	1		-4	80	Ab5	5	6
7/4	0.25	1	1	7/16	7/16	3/4	1	1	1/16			1/16	1		0	84	C6	6	6
2	0.3333333333333333	1	1	1/2	1/2	3/4	2	1	1/12			1/8	2/3		-4	80	Ab5	5	17
2	0.25	1	1	1/2	1/2	3/4	1	1	1/16			1/16	1		3	81	A5	5	7
9/4	0.25	1	1	9/16	9/16	3/4	1	1	1/16			1/16	1		-2	82	Bb5	5	8
9/4	0.25	1	1	9/16	9/16	3/4	1	1	1/16			1/16	1		-3	87	Eb6	6	8
7/3	0.3333333333333333	1	1	7/12	7/12	3/4	2	1	1/12			1/8	2/3		2	74	D5	5	18
5/2	0.25	1	1	5/8	5/8	3/4	1	1	1/16			1/16	1		5	83	B5	5	9
8/3	0.3333333333333333	1	1	2/3	2/3	3/4	2	1	1/12			1/8	2/3		-2	70	Bb4	4	19
11/4	0.25	1	1	11/16	11/16	3/4	1	1	1/16			1/16	1		0	84	C6	6	10
11/4	0.25	1	1	11/16	11/16	3/4	1	1	1/16			1/16	1		-1	89	F6	6	10
3	0.3333333333333333	2	2	0	0	3/4	2	1	1/12			1/8	2/3		-6	78	Gb5	5	31
3	0.25	2	2	0	0	3/4	1	1	1/16			1/16	1		3	81	A5	5	20
